# generated_at: 2025-12-11T23:29:05-03:00
# user: drinxar
# host: Drinxar

command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
speech-dispatch	5	0.0	0.0	0.0	0.0
Privileged Cont	5	0.1	0.1	1.3	1.3
rsyslogd	5	13.6	13.6	0.0	0.0
evolution-addre	5	0.0	0.0	0.2	0.2
evolution-sourc	5	0.0	0.0	0.3	0.3
fwupd	5	0.0	0.0	0.3	0.3
kworker/u48:0-f	5	0.1	0.1	0.0	0.0
gnome-terminal-	5	0.1	0.1	0.4	0.4
gnome-session-c	5	0.0	0.0	0.0	0.0
card1-crtc3	5	0.0	0.0	0.0	0.0
irq/26-AMD-Vi0-	5	0.0	0.0	0.0	0.0
idle_inject/0	5	0.0	0.0	0.0	0.0
migration/2	5	0.0	0.0	0.0	0.0
kworker/0:2	5	0.0	0.0	0.0	0.0
kworker/R-scsi_	50	0.0	0.0	0.0	0.0
kworker/R-mld	5	0.0	0.0	0.0	0.0
cpuhp/10	5	0.0	0.0	0.0	0.0
kworker/6:0H-ev	5	0.0	0.0	0.0	0.0
gsd-color	5	0.0	0.0	0.1	0.1
fusermount3	5	0.0	0.0	0.0	0.0
kworker/R-ext4-	15	0.0	0.0	0.0	0.0
kworker/10:0H-e	5	0.0	0.0	0.0	0.0
accounts-daemon	5	0.0	0.0	0.0	0.0
migration/8	5	0.0	0.0	0.0	0.0
mutter-x11-fram	5	0.1	0.1	0.8	0.8
gvfsd-fuse	5	0.0	0.0	0.0	0.0
kworker/4:0H-ev	5	0.0	0.0	0.0	0.0
gsd-disk-utilit	5	0.0	0.0	0.0	0.0
snap	5	0.0	0.0	0.1	0.1
awk	10	0.0	0.0	0.0	0.0
khugepaged	5	0.0	0.0	0.0	0.0
kworker/2:2-eve	5	0.0	0.0	0.0	0.0
bash	25	0.0	0.0	0.0	0.0
kworker/1:1H-kb	5	0.0	0.0	0.0	0.0
ksoftirqd/0	5	0.0	0.0	0.0	0.0
chrome_crashpad	15	0.0	0.0	0.0	0.0
gsd-printer	5	0.0	0.0	0.1	0.1
gsd-a11y-settin	5	0.0	0.0	0.0	0.0
kworker/u49:0-t	5	0.0	0.0	0.0	0.0
kworker/4:2-eve	4	0.0	0.0	0.0	0.0
kworker/11:2-mm	1	0.0	0.0	0.0	0.0
kworker/R-nvme-	20	0.0	0.0	0.0	0.0
kworker/8:0H-ev	5	0.0	0.0	0.0	0.0
idle_inject/5	5	0.0	0.0	0.0	0.0
goa-daemon	5	0.0	0.0	0.1	0.1
kworker/3:1H-kb	5	0.0	0.0	0.0	0.0
ibus-x11	5	0.0	0.0	0.1	0.1
migration/7	5	0.0	0.0	0.0	0.0
scsi_eh_4	5	0.0	0.0	0.0	0.0
cpuhp/4	5	0.0	0.0	0.0	0.0
kworker/11:1H-k	5	0.0	0.0	0.0	0.0
gvfsd-trash	5	0.0	0.0	0.0	0.0
Utility Process	5	0.0	0.0	0.3	0.3
kworker/u48:1-f	1	0.0	0.0	0.0	0.0
ibus-portal	5	0.0	0.0	0.0	0.0
kworker/R-comp_	40	0.0	0.0	0.0	0.0
kworker/4:1H-kb	5	0.0	0.0	0.0	0.0
ksoftirqd/9	5	0.0	0.0	0.0	0.0
kworker/R-md	5	0.0	0.0	0.0	0.0
kworker/11:0H-e	5	0.0	0.0	0.0	0.0
gdm-wayland-ses	5	0.0	0.0	0.0	0.0
gdm3	5	0.0	0.0	0.0	0.0
forkserver	5	0.0	0.0	0.2	0.2
ksoftirqd/7	5	0.0	0.0	0.0	0.0
kworker/4:1-cgr	5	0.0	0.0	0.0	0.0
kworker/R-gfx	5	0.0	0.0	0.0	0.0
idle_inject/10	5	0.0	0.0	0.0	0.0
gsd-smartcard	5	0.0	0.0	0.0	0.0
crashhelper	5	0.0	0.0	0.0	0.0
kworker/R-vcn_d	5	0.0	0.0	0.0	0.0
kworker/R-acpi_	5	0.0	0.0	0.0	0.0
idle_inject/6	5	0.0	0.0	0.0	0.0
kworker/R-netns	5	0.0	0.0	0.0	0.0
kworker/R-rcu_g	5	0.0	0.0	0.0	0.0
systemd	10	0.0	0.0	0.1	0.1
migration/4	5	0.0	0.0	0.0	0.0
kworker/2:3-eve	5	0.0	0.0	0.0	0.0
scsi_eh_1	5	0.0	0.0	0.0	0.0
ecryptfs-kthrea	5	0.0	0.0	0.0	0.0
cpuhp/1	5	0.0	0.0	0.0	0.0
pool_workqueue_	5	0.0	0.0	0.0	0.0
gsd-datetime	5	0.0	0.0	0.0	0.0
gsd-xsettings	5	0.0	0.0	0.6	0.6
power-profiles-	5	0.0	0.0	0.0	0.0
unattended-upgr	5	0.0	0.0	0.1	0.1
xdg-document-po	5	0.0	0.0	0.0	0.0
gsd-housekeepin	5	0.0	0.0	0.0	0.0
kworker/u48:2-e	3	0.1	0.1	0.0	0.0
at-spi-bus-laun	5	0.0	0.0	0.0	0.0
kworker/R-sdma0	5	0.0	0.0	0.0	0.0
jbd2/nvme0n1p1-	5	0.0	0.0	0.0	0.0
kworker/R-write	5	0.0	0.0	0.0	0.0
rcu_exp_gp_kthr	5	0.0	0.0	0.0	0.0
kworker/9:2-eve	4	0.0	0.0	0.0	0.0
systemd-oomd	5	0.0	0.0	0.0	0.0
xdg-permission-	5	0.0	0.0	0.0	0.0
card1-crtc2	5	0.0	0.0	0.0	0.0
avahi-daemon	10	0.0	0.0	0.0	0.0
kworker/R-charg	5	0.0	0.0	0.0	0.0
kworker/R-blkcg	5	0.0	0.0	0.0	0.0
kworker/R-kbloc	5	0.0	0.0	0.0	0.0
idle_inject/1	5	0.0	0.0	0.0	0.0
khungtaskd	5	0.0	0.0	0.0	0.0
gnome-session-b	10	0.0	0.0	0.1	0.1
gdm-session-wor	5	0.0	0.0	0.0	0.0
kworker/u49:7-t	5	0.0	0.0	0.0	0.0
migration/3	5	0.0	0.0	0.0	0.0
ibus-extension-	5	0.0	0.0	0.2	0.2
cpptools	10	0.1	0.3	0.2	0.3
scsi_eh_8	5	0.0	0.0	0.0	0.0
cpuhp/8	5	0.0	0.0	0.0	0.0
kworker/1:0H-ev	5	0.0	0.0	0.0	0.0
gvfs-mtp-volume	5	0.0	0.0	0.0	0.0
kworker/9:2-mm_	1	0.0	0.0	0.0	0.0
kworker/11:0-ev	5	0.0	0.0	0.0	0.0
kworker/R-jpeg_	5	0.0	0.0	0.0	0.0
jbd2/nvme0n1p5-	5	0.0	0.0	0.0	0.0
migration/9	5	0.0	0.0	0.0	0.0
Xwayland	5	0.9	0.9	0.9	0.9
kworker/10:0-mm	1	0.0	0.0	0.0	0.0
kworker/6:0-eve	5	0.0	0.0	0.0	0.0
kworker/5:2	5	0.0	0.0	0.0	0.0
gcr-ssh-agent	5	0.0	0.0	0.0	0.0
kworker/R-crypt	5	0.0	0.0	0.0	0.0
scsi_eh_2	5	0.0	0.0	0.0	0.0
kworker/7:0H-ev	5	0.0	0.0	0.0	0.0
cpuhp/2	5	0.0	0.0	0.0	0.0
cupsd	5	0.0	0.0	0.0	0.0
kworker/0:1H-kb	5	0.0	0.0	0.0	0.0
kworker/R-kinte	5	0.0	0.0	0.0	0.0
gnome-shell-cal	5	0.0	0.0	0.1	0.1
kworker/u48:3-e	1	0.1	0.1	0.0	0.0
lab2	5	0.0	0.0	0.0	0.0
kworker/R-kthro	5	0.0	0.0	0.0	0.0
kworker/5:0H-ev	5	0.0	0.0	0.0	0.0
rcu_exp_par_gp_	5	0.0	0.0	0.0	0.0
gnome-keyring-d	5	0.0	0.0	0.0	0.0
jbd2/nvme0n1p4-	5	0.0	0.0	0.0	0.0
ksoftirqd/3	5	0.0	0.0	0.0	0.0
gvfsd-recent	5	0.0	0.0	0.0	0.0
switcheroo-cont	5	0.0	0.0	0.0	0.0
xdg-desktop-por	15	0.0	0.0	0.1	0.2
kworker/5:1H-kb	5	0.0	0.0	0.0	0.0
chrome	50	1.2	7.9	0.9	2.6
systemd-udevd	5	0.0	0.0	0.0	0.0
kworker/2:0-eve	5	0.0	0.0	0.0	0.0
ibus-memconf	5	0.0	0.0	0.0	0.0
