# generated_at: 2025-12-09T11:20:40-03:00
# user: angel
# host: ullr

command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
Hyprland	14	1.4	1.4	0.9	0.9
Isolated Web Co	28	0.9	1.5	2.2	2.4
firefox	28	1.5	1.8	4.5	4.7
ghostwriter	14	0.7	0.7	2.7	2.7
waybar	14	0.5	0.6	0.4	0.4
